client name,command class name,command group,command version,repoUrl,source,dtoRepoUrl,dtoSource
cc-api-bridge,CreateApiTokenCommand,ApiToken,,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,src/routes/create-api-token.js:28,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,src/routes/create-api-token.js (inline response schema)
cc-api-bridge,DeleteApiTokenCommand,ApiToken,,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,src/routes/delete-api-token.js:12,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,"N/A (empty 200, no body)"
cc-api-bridge,GetApiTokenCommand,ApiToken,,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,src/routes/get-api-token.js:12,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,src/lib/format-token.js
cc-api-bridge,ListApiTokenCommand,ApiToken,,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,src/routes/list-api-tokens.js:11,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,src/lib/format-token.js
cc-api-bridge,UpdateApiTokenCommand,ApiToken,,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,src/routes/update-api-token.js:11,https://gitlab.corp.clever-cloud.com/clever-cloud/auth-backend,"N/A (empty 200, no body)"
cc-api,CreateAddonCommand,Addon,2,https://gitlab.corp.clever-cloud.com/core-team/cc-api,src/main/java/com/clevercloud/ccapi/api/organisation/OrganisationAddonsAPI.java:65,https://gitlab.corp.clever-cloud.com/clever-cloud/ccapidto,src/main/java/com/clevercloud/ccapi/output/addon/AddonView.java
cc-api,DeleteAddonCommand,Addon,2,https://gitlab.corp.clever-cloud.com/core-team/cc-api,src/main/java/com/clevercloud/ccapi/api/organisation/OrganisationAddonsAPI.java:116,https://gitlab.corp.clever-cloud.com/core-team/cc-api,src/main/java/com/clevercloud/ccapi/models/message/struct/Message.java
cc-api,GetAddonCommand,Addon,2,https://gitlab.corp.clever-cloud.com/core-team/cc-api,src/main/java/com/clevercloud/ccapi/api/organisation/OrganisationAddonsAPI.java:93,https://gitlab.corp.clever-cloud.com/clever-cloud/ccapidto,src/main/java/com/clevercloud/ccapi/output/addon/AddonView.java
cc-api,GetAddonDetailsInnerCommand,Addon,4,https://gitlab.corp.clever-cloud.com/clever-cloud/dbaas/addon-api-postgresql,"conf/routes:31 -> app/controllers/Application.scala:332 -> app/controllers/Application.scala:321 (generic route, defined per provider in each dbaas/addon-api-* service)",https://gitlab.corp.clever-cloud.com/clever-cloud/dbaas/addon-api-postgresql,app/models/dto.scala:540 (PostgresqlAddonView)
cc-api,GetAddonSsoCommand,Addon,2,https://gitlab.corp.clever-cloud.com/core-team/cc-api,src/main/java/com/clevercloud/ccapi/api/organisation/OrganisationAddonsAPI.java:149,https://gitlab.corp.clever-cloud.com/clever-cloud/ccapidto,src/main/java/com/clevercloud/ccapi/output/addon/AddonProviderSSOData.java
cc-api,ListAddonCommand,Addon,2,https://gitlab.corp.clever-cloud.com/core-team/cc-api,src/main/java/com/clevercloud/ccapi/api/organisation/OrganisationAddonsAPI.java:51,https://gitlab.corp.clever-cloud.com/clever-cloud/ccapidto,src/main/java/com/clevercloud/ccapi/output/addon/AddonView.java
cc-api,ListAddonInstanceCommand,Addon,2,https://gitlab.corp.clever-cloud.com/core-team/cc-api,src/main/java/com/clevercloud/ccapi/api/organisation/OrganisationAddonsAPI.java:160,https://gitlab.corp.clever-cloud.com/clever-cloud/ccapidto,src/main/java/com/clevercloud/ccapi/output/supernova/SuperNovaInstanceView.java
cc-api,UpdateAddonCommand,Addon,2,https://gitlab.corp.clever-cloud.com/core-team/cc-api,src/main/java/com/clevercloud/ccapi/api/organisation/OrganisationAddonsAPI.java:104,https://gitlab.corp.clever-cloud.com/clever-cloud/ccapidto,src/main/java/com/clevercloud/ccapi/output/addon/AddonView.java
